LastName FirstName Gender FavoriteColor DateOfBirth
D’Orso James M GREEN 12/09/1990
D’Ottavio Mary F GREEN 11/01/1995
D’Ovidio John M BLUE 01/03/1996
D’Souza Patricia F RED 02/05/1998
D’Urbano Robert M BROWN 03/03/2000
D’Urso Jennifer F WHITE 04/05/19930
D’Uva Michael M YELLOW 06/01/1992
Da CostaLinda F BLACK 01/19/1956
DaCruz Elizabeth F WHITE 04/25/1972
DaCunha Barbara F GRAY 01/01/2001
DaLuz Susan F PINK 02/03/1995
DaPonte Jessica F RED 02/03/1997
DaPra Sarah F VIOLET 01/03/1997
DaRocha Karen F PURPLE 01/06/1991
DaRosa Nancy F SKY 04/06/1998
